"theDate","Label1","Deaths","Population","percapita","standardpop","ASM"
2011-05-08,"Under 30",2.24489795918367,1808696.15384615,1.24116920048176e-06,1993780,2.47461832853653
2011-05-09,"Under 30",2.30612244897959,1808670,1.27503770670138e-06,1993780,2.54214467886708
2011-05-10,"Under 30",2.36734693877551,1808643.84615385,1.30890719243027e-06,1993780,2.60967298212362
2011-05-11,"Under 30",2.42857142857143,1808617.69230769,1.34277765771091e-06,1993780,2.67720323839085
2011-05-12,"Under 30",2.36734693877551,1808591.53846154,1.30894504836027e-06,1993780,2.60974845851974
2011-05-13,"Under 30",2.30612244897959,1808565.38461538,1.27511146049609e-06,1993780,2.54229172770789
2011-05-14,"Under 30",2.24489795918367,1808539.23076923,1.24127689407591e-06,1993780,2.47483304587068
2011-05-15,"Under 30",2.18367346938776,1808513.07692308,1.20744134905729e-06,1993780,2.40737241292345
2011-05-16,"Under 30",2.12244897959184,1808486.92307692,1.17360482539777e-06,1993780,2.33990982878156
2011-05-17,"Under 30",2.06122448979592,1808460.76923077,1.13976732305488e-06,1993780,2.27244529336035
2011-05-18,"Under 30",2,1808434.61538462,1.10592884198616e-06,1993780,2.20497880657517
2011-05-19,"Under 30",2.10204081632653,1808408.46153846,1.16237059327751e-06,1993780,2.31751124146483
2011-05-20,"Under 30",2.20408163265306,1808382.30769231,1.21881397715382e-06,1993780,2.43004693136974
2011-05-21,"Under 30",2.30612244897959,1808356.15384615,1.27525899368592e-06,1993780,2.54258587643112
2011-05-22,"Under 30",2.40816326530612,1808330,1.33170564294466e-06,1993780,2.65512807679021
2011-05-23,"Under 30",2.51020408163265,1808303.84615385,1.38815392500088e-06,1993780,2.76767353258826
2011-05-24,"Under 30",2.61224489795918,1808277.69230769,1.44460383992543e-06,1993780,2.88022224396652
2011-05-25,"Under 30",2.71428571428571,1808251.53846154,1.50105538778915e-06,1993780,2.99277421106625
2011-05-26,"Under 30",2.63265306122449,1808225.38461538,1.45593192288055e-06,1993780,2.90280794920077
2011-05-27,"Under 30",2.55102040816327,1808199.23076923,1.41080715263773e-06,1993780,2.81283908478605
2011-05-28,"Under 30",2.46938775510204,1808173.07692308,1.36568107700405e-06,1993780,2.72286761770914
2011-05-29,"Under 30",2.38775510204082,1808146.92307692,1.32055369592288e-06,1993780,2.63289354785712
2011-05-30,"Under 30",2.30612244897959,1808120.76923077,1.27542500933756e-06,1993780,2.54291687511704
2011-05-31,"Under 30",2.22448979591837,1808094.61538462,1.23029501719144e-06,1993780,2.45293759937595
2011-06-01,"Under 30",2.14285714285714,1808068.46153846,1.18516371942787e-06,1993780,2.36295572052089
2011-06-02,"Under 30",2.14285714285714,1808042.30769231,1.18518086315811e-06,1993780,2.36298990134737
2011-06-03,"Under 30",2.14285714285714,1808016.15384615,1.18519800738433e-06,1993780,2.36302408316273
2011-06-04,"Under 30",2.14285714285714,1807990,1.18521515210656e-06,1993780,2.36305826596702
2011-06-05,"Under 30",2.14285714285714,1807963.84615385,1.18523229732482e-06,1993780,2.36309244976028
2011-06-06,"Under 30",2.14285714285714,1807937.69230769,1.18524944303913e-06,1993780,2.36312663454256
2011-06-07,"Under 30",2.14285714285714,1807911.53846154,1.18526658924951e-06,1993780,2.36316082031389
2011-06-08,"Under 30",2.14285714285714,1807885.38461538,1.18528373595598e-06,1993780,2.36319500707432
2011-06-09,"Under 30",2.20408163265306,1807859.23076923,1.21916662267739e-06,1993780,2.43075002896172
2011-06-10,"Under 30",2.26530612244898,1807833.07692308,1.25305048976342e-06,1993780,2.49830700548052
2011-06-11,"Under 30",2.3265306122449,1807806.92307692,1.28693533725665e-06,1993780,2.56586593671555
2011-06-12,"Under 30",2.38775510204082,1807780.76923077,1.3208211651996e-06,1993780,2.63342682275166
2011-06-13,"Under 30",2.44897959183673,1807754.61538462,1.35470797363485e-06,1993780,2.70098966367369
2011-06-14,"Under 30",2.51020408163265,1807728.46153846,1.38859576260494e-06,1993780,2.76855445956648
2011-06-15,"Under 30",2.57142857142857,1807702.30769231,1.42248453215244e-06,1993780,2.83612121051488
2011-06-16,"Under 30",2.51020408163265,1807676.15384615,1.38863594360735e-06,1993780,2.76863457164546
2011-06-17,"Under 30",2.44897959183673,1807650,1.35478637559081e-06,1993780,2.70114597992545
2011-06-18,"Under 30",2.38775510204082,1807623.84615385,1.32093582806032e-06,1993780,2.63365543527011
2011-06-19,"Under 30",2.3265306122449,1807597.69230769,1.28708430097336e-06,1993780,2.56616293759466
2011-06-20,"Under 30",2.26530612244898,1807571.53846154,1.25323179428739e-06,1993780,2.49866848681432
2011-06-21,"Under 30",2.20408163265306,1807545.38461538,1.21937830795991e-06,1993780,2.43117208284432
2011-06-22,"Under 30",2.14285714285714,1807519.23076923,1.18552384194839e-06,1993780,2.36367372559987
2011-06-23,"Under 30",2.28571428571429,1807493.07692308,1.26457706250543e-06,1993780,2.52128845568208
2011-06-24,"Under 30",2.42857142857143,1807466.92307692,1.34363257084516e-06,1993780,2.67890774709965
2011-06-25,"Under 30",2.57142857142857,1807440.76923077,1.42269036706688e-06,1993780,2.83653160005061
2011-06-26,"Under 30",2.71428571428571,1807414.61538462,1.50175045126993e-06,1993780,2.99416001473296
2011-06-27,"Under 30",2.85714285714286,1807388.46153846,1.58081282355362e-06,1993780,3.15179299134475
2011-06-28,"Under 30",3,1807362.30769231,1.65987748401729e-06,1993780,3.309430530084
2011-06-29,"Under 30",3.14285714285714,1807336.15384615,1.73894443276028e-06,1993780,3.46707263114879
2011-06-30,"Under 30",3.08163265306122,1807310,1.70509356616254e-06,1993780,3.39958145034355
2011-07-01,"Under 30",3.02040816326531,1807336.63043478,1.67119291027632e-06,1993780,3.33199100065073
2011-07-02,"Under 30",2.95918367346939,1807363.26086957,1.63729325340256e-06,1993780,3.26440254276895
2011-07-03,"Under 30",2.89795918367347,1807389.89130435,1.60339459549709e-06,1993780,3.19681607661019
2011-07-04,"Under 30",2.83673469387755,1807416.52173913,1.56949693651577e-06,1993780,3.12923160208641
2011-07-05,"Under 30",2.77551020408163,1807443.15217391,1.53560027641443e-06,1993780,3.06164911910957
2011-07-06,"Under 30",2.71428571428571,1807469.7826087,1.50170461514893e-06,1993780,2.99406862759164
2011-07-07,"Under 30",2.73469387755102,1807496.41304348,1.51297333583435e-06,1993780,3.01653597751982
2011-07-08,"Under 30",2.75510204081633,1807523.04347826,1.52424172447319e-06,1993780,3.03900266542015
2011-07-09,"Under 30",2.77551020408163,1807549.67391304,1.53550978108011e-06,1993780,3.06146869132189
2011-07-10,"Under 30",2.79591836734694,1807576.30434783,1.54677750566979e-06,1993780,3.0839340552543
2011-07-11,"Under 30",2.81632653061224,1807602.93478261,1.5580448982569e-06,1993780,3.10639875724664
2011-07-12,"Under 30",2.83673469387755,1807629.56521739,1.56931195885613e-06,1993780,3.12886279732817
2011-07-13,"Under 30",2.85714285714286,1807656.19565217,1.58057868748213e-06,1993780,3.15132617552813
2011-07-14,"Under 30",2.91836734693878,1807682.82608696,1.61442444704533e-06,1993780,3.21880717403004
2011-07-15,"Under 30",2.97959183673469,1807709.45652174,1.64826920940481e-06,1993780,3.28628618432713
2011-07-16,"Under 30",3.04081632653061,1807736.08695652,1.68211297460465e-06,1993780,3.35376320650727
2011-07-17,"Under 30",3.10204081632653,1807762.7173913,1.71595574268892e-06,1993780,3.42123824065831
2011-07-18,"Under 30",3.16326530612245,1807789.34782609,1.74979751370167e-06,1993780,3.48871128686811
2011-07-19,"Under 30",3.22448979591837,1807815.97826087,1.78363828768697e-06,1993780,3.55618234522453
2011-07-20,"Under 30",3.28571428571429,1807842.60869565,1.81747806468889e-06,1993780,3.62365141581541
2011-07-21,"Under 30",3.16326530612245,1807869.23913043,1.74972018863706e-06,1993780,3.4885571177008
2011-07-22,"Under 30",3.04081632653061,1807895.86956522,1.68196430874191e-06,1993780,3.35346679948344
2011-07-23,"Under 30",2.91836734693878,1807922.5,1.61421042491521e-06,1993780,3.21838046098745
2011-07-24,"Under 30",2.79591836734694,1807949.13043478,1.54645853706878e-06,1993780,3.08329810203698
